ammenities,score,city
accommodates,26.481411801859867,Málaga
pool,5.086632239698206,Málaga
tv,3.7768454966121787,Málaga
review_scores_location,3.217187110151729,Málaga
air_conditioning,2.9794118029215895,Málaga
lockbox,2.7928307752090653,Málaga
dryer,2.7668227108586874,Málaga
private_living_room,2.504201190691501,Málaga
private_entrance,1.7330408711884935,Málaga
shampoo,1.7174973190241596,Málaga
accommodates,29.98488144880604,Madrid
review_scores_location,4.65112622785376,Madrid
room_darkening_shades,3.316150768566966,Madrid
laptop_friendly_workspace,3.1598898689851764,Madrid
crib,2.4755223815330805,Madrid
dryer,2.2153953173050436,Madrid
heating,1.9972205331607176,Madrid
smoking_allowed,1.8941218794247816,Madrid
internet,1.6947521041004943,Madrid
cable_tv,1.4528884920588105,Madrid
accommodates,17.873206898078127,Sevilla
review_scores_location,7.814673527853136,Sevilla
free_street_parking,4.52547201392832,Sevilla
kitchen,3.7430707309405737,Sevilla
high_chair,3.5472266855360894,Sevilla
washer,2.8244951292513454,Sevilla
first_aid_kit,2.702073182779272,Sevilla
fire_extinguisher,2.6419213737190783,Sevilla
crib,2.4169317604403893,Sevilla
hair_dryer,2.1035622754713224,Sevilla
accommodates,40.107863518825084,Barcelona
family_kid_friendly,3.6825744203783097,Barcelona
review_scores_location,3.5952094778115935,Barcelona
safety_card,2.3943197499420683,Barcelona
air_conditioning,1.8747198988463158,Barcelona
24_hour_check_in,1.7802031633994426,Barcelona
shampoo,1.4538679420187213,Barcelona
laptop_friendly_workspace,1.2397163352352059,Barcelona
elevator,1.231329779328905,Barcelona
heating,1.1963336162133404,Barcelona
accommodates,36.116357225100096,Girona
pool,4.538189787345637,Girona
review_scores_location,3.5865433101543864,Girona
indoor_fireplace,2.9656814504628524,Girona
dryer,2.482174215891695,Girona
tv,1.6862238789783952,Girona
pets_allowed,1.480947642895447,Girona
elevator,1.4415719982054849,Girona
air_conditioning,1.293226937252112,Girona
private_entrance,1.2562375301607245,Girona
accommodates,25.207665003797164,Valencia
review_scores_location,7.957041494508574,Valencia
long_term_stays_allowed,4.962342060144406,Valencia
paid_parking_on_premises,4.728919173929279,Valencia
first_aid_kit,3.609974451101667,Valencia
private_entrance,3.5790196674060035,Valencia
free_street_parking,2.999608497367921,Valencia
laptop_friendly_workspace,2.7080068168482234,Valencia
dishwasher,2.270347146778741,Valencia
elevator,2.264870670193267,Valencia
accommodates,36.147797544449006,Mallorca
review_scores_location,4.264892504826565,Mallorca
pool,4.179394764515027,Mallorca
family_kid_friendly,1.592256491581969,Mallorca
air_conditioning,1.4639746646060399,Mallorca
internet,1.457517022360369,Mallorca
shampoo,1.3625020016840264,Mallorca
heating,1.3603945520969376,Mallorca
cable_tv,1.3518475600560311,Mallorca
dryer,1.3325647234866391,Mallorca
accommodates,48.30154243403055,Menorca
review_scores_location,4.53885562541846,Menorca
essentials,3.917626963043954,Menorca
buzzer_wireless_intercom,2.340039888011761,Menorca
first_aid_kit,2.256975757559441,Menorca
wifi,2.025069092604715,Menorca
dedicated_workspace,1.8232004266298336,Menorca
dryer,1.5051274774667196,Menorca
indoor_fireplace,1.473545485147871,Menorca
lock_on_bedroom_door,1.3929791652464114,Menorca
